Nodes,Paths,Time,GenerationTime
300 , 1044 , 0.08676791191101074 , 0.5645151138305664
300 , 2025 , 0.10172748565673828 , 0.47572851181030273
300 , 2996 , 0.03989410400390625 , 0.4059407711029053
300 , 4002 , 0.10571956634521484 , 0.384000301361084
300 , 5025 , 0.24235153198242188 , 0.3700106143951416
300 , 6005 , 0.17151379585266113 , 0.3500638008117676
300 , 6998 , 0.26928043365478516 , 0.331143856048584
300 , 7979 , 0.202484130859375 , 0.3051574230194092
300 , 8986 , 0.21442604064941406 , 0.30518484115600586
300 , 9959 , 0.18550395965576172 , 0.27328062057495117
300 , 10963 , 0.33510589599609375 , 0.2653062343597412
300 , 11965 , 0.39594006538391113 , 0.25531530380249023
300 , 12964 , 0.2982015609741211 , 0.2483503818511963
300 , 13946 , 0.4667508602142334 , 0.2652907371520996
300 , 14943 , 0.3670196533203125 , 0.264293909072876
300 , 15922 , 0.3450765609741211 , 0.2433481216430664
300 , 16889 , 0.31115055084228516 , 0.21941399574279785
300 , 17890 , 0.3101692199707031 , 0.2094573974609375
300 , 18918 , 0.2822446823120117 , 0.20547771453857422
300 , 19889 , 0.3730030059814453 , 0.20248627662658691
300 , 20853 , 0.2652904987335205 , 0.2244107723236084
300 , 21870 , 0.3710358142852783 , 0.19946551322937012
300 , 22878 , 0.4976687431335449 , 0.20342183113098145
300 , 23857 , 0.5145971775054932 , 0.20445489883422852
300 , 24836 , 0.48572754859924316 , 0.18450570106506348
300 , 25823 , 0.5714733600616455 , 0.17851924896240234
300 , 26812 , 0.507666826248169 , 0.17749881744384766
300 , 27813 , 0.4527895450592041 , 0.18846845626831055
300 , 28811 , 0.6851918697357178 , 0.1765305995941162
300 , 29787 , 0.4727346897125244 , 0.15259337425231934
300 , 30759 , 0.7669475078582764 , 0.1765294075012207
300 , 31774 , 0.4358336925506592 , 0.14563727378845215
300 , 32715 , 0.6841704845428467 , 0.14261937141418457
300 , 33751 , 0.7559785842895508 , 0.13664579391479492
300 , 34692 , 0.5265910625457764 , 0.13164782524108887
300 , 35716 , 0.7629330158233643 , 0.13364338874816895
300 , 36705 , 0.7170813083648682 , 0.12668824195861816
300 , 37654 , 0.6452734470367432 , 0.12366986274719238
300 , 38635 , 0.8696475028991699 , 0.13466668128967285
300 , 39622 , 0.8576779365539551 , 0.11472153663635254
300 , 40630 , 0.9145543575286865 , 0.11272406578063965
300 , 41607 , 0.6881587505340576 , 0.11070418357849121
300 , 42607 , 0.8687026500701904 , 0.10871124267578125
300 , 43576 , 1.01528000831604 , 0.11267590522766113
300 , 44563 , 0.6233596801757812 , 0.12364363670349121
300 , 45543 , 1.0482237339019775 , 0.09869074821472168
300 , 46533 , 1.1549115180969238 , 0.09574341773986816
300 , 47517 , 1.0472254753112793 , 0.11768579483032227
300 , 48526 , 1.139951229095459 , 0.09175467491149902
300 , 49484 , 0.7609374523162842 , 0.08978772163391113
300 , 50450 , 1.2027571201324463 , 0.08679437637329102
300 , 51444 , 1.4311728477478027 , 0.0887916088104248
300 , 52436 , 1.300520658493042 , 0.08178305625915527
300 , 53417 , 1.180842399597168 , 0.11668825149536133
300 , 54425 , 1.079113245010376 , 0.09177994728088379
300 , 55377 , 1.2147512435913086 , 0.07280540466308594
300 , 56385 , 1.4929943084716797 , 0.07281827926635742
300 , 57342 , 1.3593637943267822 , 0.0688166618347168
300 , 58300 , 1.4321696758270264 , 0.06682276725769043
300 , 59296 , 1.5588030815124512 , 0.06485438346862793
300 , 60277 , 1.482027292251587 , 0.06187582015991211
300 , 61243 , 1.4870240688323975 , 0.06183123588562012
300 , 62197 , 1.4910097122192383 , 0.05784749984741211
300 , 63197 , 1.6007301807403564 , 0.054853200912475586
300 , 64168 , 1.6047353744506836 , 0.0757608413696289
300 , 65179 , 1.6006784439086914 , 0.052870988845825195
300 , 66155 , 1.7423264980316162 , 0.05688977241516113
300 , 67166 , 1.361346960067749 , 0.04691648483276367
300 , 68142 , 1.7981910705566406 , 0.04690217971801758
300 , 69086 , 1.9537749290466309 , 0.04388308525085449
300 , 70066 , 1.8490440845489502 , 0.04090309143066406
300 , 71020 , 2.006617784500122 , 0.0389094352722168
300 , 71976 , 1.905893087387085 , 0.03793001174926758
300 , 72998 , 2.139305830001831 , 0.034906625747680664
300 , 73965 , 2.0455563068389893 , 0.03889632225036621
300 , 74933 , 2.1661925315856934 , 0.03095865249633789
300 , 75957 , 2.24000883102417 , 0.03089165687561035
300 , 76936 , 2.1043601036071777 , 0.027961015701293945
300 , 77895 , 1.8610131740570068 , 0.02993035316467285
